,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,additionalRoom,floorNum,facing,agePossession,nearbyLocations,furnishDetails,features,sector
0,house,Bptp Visionnaire,5.25,20115.0,2610.0,Plot area 290(242.48 sq.m.),5.0,4.0,3+,Servant Room,3.0,North-East,0 to 1 Year Old,"['Good Earth City Center 2', 'Kunskapsskolan International School', 'Peace Taekwondo Academy', 'Rama krishna public school', 'Suraj School Sector 75', 'Axis Bank ATM, Sector 57', 'Sparsh Hospital, Sohna Rd', 'Oriental Bank of Commerce Palra Rd', 'The Federal Bank Ltd Palra', 'HDFC Bank Darbaripur Rd', 'Central Bank Of IndiaSohna Rd', 'Tata Projects Limited', 'IndianOil, Hasanpur', 'HPCL Sadhuram & Sons Petromart', 'RAMA Filling Station']","['1 Wardrobe', '1 Fan', '1 Exhaust Fan', '1 Geyser', '1 Light', '1 Modular Kitchen', '1 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",sector 70a
3,house,,5.0,43066.0,1161.0,Plot area 129(107.86 sq.m.),21.0,21.0,3+,Servant Room,5.0,North,1 to 5 Year Old,"['Sector 53-54 metro station', 'Sector 54 chowk metro station', 'Sanatan Dharm Mandir', 'Hanuman Mandir', 'New Life Church', 'Indusind bank ATM', 'Citi bank ATM', 'Icici bank ATM', 'State bank ATM', 'Icici bank ATM', 'Arunodaya Deseret Eye Hospital', 'Paras Hospital Gurgaon', 'Surgicare Hospital Gurgaon', 'The Dental Lounge', 'Kriti Hospital', 'Anand Hospital Gurgaon', 'HUDA Office Complex', 'Apollo Pharmacy', 'Medisca', 'HCG CNG Station', 'Heera Fuel Station', 'Hdfc bank & atm', 'Icici bank', 'Hdfc bank', 'Axis bank', 'Indusind bank', 'Kotak mahindra bank', 'State bank of india', '222', 'Naivedyam Restaurant', 'Clock tower', 'Bikanerwala', 'Burger Singh', 'Wat-a-Burger', 'Starbucks', ""Carl's Jr."", 'Shophouse by Kylin', 'Cafe Tonini', 'Sagar Ratna', 'Suncity School', 'Iilm University', 'IILM', 'Sushant College of Arts & Architecture', 'Ansal Institute of Technology']","['1 Water Purifier', '21 Fan', '1 Fridge', '1 Exhaust Fan', '1 Dining Table', '21 Geyser', '1 Stove', '21 Light', '1 Modular Kitchen', '1 Curtains', '1 Chimney', '21 Bed', '21 Wardrobe', '1 Sofa', '1 Washing Machine', '1 Microwave', 'No AC', 'No TV']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Maintenance Staff', 'Water Storage', 'Park', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",sector 54
6,house,Emaar MGF Marbella,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),5.0,5.0,3+,"Servant Room,Pooja Room,Store Room",3.0,East,0 to 1 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 48', 'Hasanpur', 'Gurugram University', 'Delhi Public School', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","['4 Wardrobe', '1 Water Purifier', '6 Fan', '1 Exhaust Fan', '5 Geyser', '1 Microwave', '10 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'Water purifier', 'Maintenance Staff', 'Water Storage', 'Bank Attached Property', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Internet/wi-fi connectivity', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 66
17,house,,2.1,23333.0,900.0,Plot area 100(83.61 sq.m.),7.0,7.0,3+,"Store Room,Pooja Room,Study Room",3.0,North-East,1 to 5 Year Old,"['Rajiv Chowk Mosque', 'Icici bank ATM', 'State bank of india ATM', 'Axis bank ATM', 'Hdfc bank ATM', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Medanta', 'Samvit Health Care', 'Sukhmani Hospital Pvt. Ltd', 'Dispencery', 'Bansal Medicare and Maternity Centre', 'Airforce Hospital', 'Pushpanjali Hospital Gurgaon', 'Pushpanjali Hospital', 'Park Hospital Gurgaon', 'Vishesh Dental', 'Neelkanth Health Care', 'Meher Clinic', 'Best Urologist Atcomplete Family Clinic', 'Smile Plus Dental Clinic', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dayal Eye & Maternity Centre', 'Gurgaon Election Commission', 'Road and Traffic Authority', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Gardian Pharmacy', 'Genius', 'India Oil', 'SRS Cinemas', 'Hdfc bank', 'Hdfc bank', 'Icici bank', 'KFC', 'Darbar', 'Haldiram', 'Raj Restaurant', 'Om Sweets', 'Fast food', 'Fast Food', 'Kendriya Vidyalaya No.2 Sohna Road', 'CR Model Public School', 'Delhi Public School Primary Section', 'Manav Rachna School', 'Amity Global School', 'Manav Rachna Swimming Pool']",,"['High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage']",sector 38
20,house,,3.4,12938.0,2628.0,Plot area 292(244.15 sq.m.),9.0,9.0,3,,3.0,West,5 to 10 Year Old,"['State bank ATM', 'Esic Hospital Gurugram', 'Shri Multispeciality Hospital', 'Ankur Clinic and Maternity Home', 'Shree Krishna Hospital Gurgaon', 'Taneja Hospital', 'Pearl Dental Clinic', 'Dr. Ashok Jain', 'Navjeevan Hospital and Maternity Centre', 'Shiv Mahima Patient Care Bureau', 'Dr. Madan Clinic', 'Dev Man Kathuria Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Shri Gobind Hospital', 'Kr Dental Hub', 'Lal Superspeciality Hospital', 'Satyam Hospital Gurgaon', 'Chiranjiv Hospital', 'Swastik Maternity and Medical Centre', 'Geeta Nursing Home Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Bhanu Dental Care', 'Tirath Ram Hospitals Pvt Ltd', 'Aryan Hospital', 'Sethi Hospital Gurgaon', 'Bindal Clinic', 'My Care Clinic', 'Ravi Clinic and Health Care Centre', 'M.S Hospital', 'Shubham Hospital Gurgaon', 'Triveni Hospital Gurgaon', 'Kamla Hospital Gurgaon', 'Rachna Dental Clinic', 'Kathuria Hospital', 'D.R. Rajnis Gupta Clinic', 'Parashar Hospital', 'Gurgaon Eye Centre', 'Nangia Hospital Ent and Maternity', 'Pasricha Hospital and Maternity Home', 'Yadav Hospital Gurgoan', 'Parmar Dental Clinic & Lab', 'Vinayak Hospital Gurgaon', 'Nutan Dental Hospital', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Basai dhankot railway station']","['9 Wardrobe', '12 Fan', '1 Exhaust Fan', '50 Light', '1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Park', 'Recently Renovated', 'Visitor Parking', 'Natural Light', 'Airy Rooms', 'Spacious Interiors', 'Low Density Society']",sector 9
21,house,Emaar MGF Marbella,12.0,38095.0,3150.0,Plot area 350(292.64 sq.m.),5.0,6.0,3+,"Store Room,Servant Room",3.0,North-East,1 to 5 Year Old,"['Sector 55-56 Rapid Metro Station', 'HUB 66', 'NH 48', 'Hasanpur', 'Gurugram University', 'Delhi Public School', 'Park Hospital', 'Indira Gandhi International Airport', 'Sealdah', 'Vatika Business Centre', 'The Oberoi', 'De Adventure Park', 'DLF Golf and Country Club', 'Tau DeviLal Sports Complex']","['1 Exhaust Fan', '8 AC', '1 Modular Kitchen', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Security / Fire Alarm', 'Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Centrally Air Conditioned', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Separate entry for servant room', 'No open drainage around', 'Piped-gas', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Natural Light', 'Airy Rooms', 'Internet/wi-fi connectivity', 'Spacious Interiors', 'Low Density Society', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 66
22,house,,8.4,25926.0,3240.0,Plot area 360(301.01 sq.m.),4.0,4.0,3,"Pooja Room,Servant Room",2.0,,10+ Year Old,"['Sri Radhe Krishna Temple', 'Icici bank ATM', 'Standard chartered ATM', 'Best Urologist Atcomplete Family Clinic', 'Wellness Eye Centre', 'Dr. Aruna Kalra', 'Dr. Anuj Sharma', 'Dr. Naresh Pandita', 'Neelkanth Health Care', 'Skin Clinic', 'Divine Look Clinic Centre', 'Vishesh Dental', 'Park Hospital Gurgaon', 'Bones Clinic - Orthopaedics', 'Meher Clinic', 'Ekta Hospital', 'Sai Heart and Trauma Center', 'Sai Dharamraj Hospital', 'Samvit Health Care', 'Sanjeevani Hospital Gurgaon', 'Sona Devi Memorial Hospital and Trauma Centre', 'Sukhmani Hospital Pvt. Ltd', ""DR AKRAM JAWED'S THE UPPER LIMB CLINIC"", 'Wembley estate club', 'Genius', 'Apollo Pharmacy', 'Gardian Pharmacy', 'Kore Tech Park', 'SPAZE BUSINESS PARK', 'India Oil', 'Icici bank', 'Hdfc bank', 'Hdfc bank', 'Indusind bank', 'Hdfc bank', 'Central bank of india', 'SRS Cinemas', 'SRS Cinemas', ""Domino's Pizza"", ""Nirula's"", 'Nook', 'Starbucks', 'Haldiram', 'India', 'Delhi Public School Primary Section', 'Kamla International']","['4 Wardrobe', '8 Fan', '1 Exhaust Fan', '5 Geyser', '18 Light', '1 Modular Kitchen', '1 Chimney', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Water Storage', 'Park', 'Piped-gas']",sector 48
23,house,Vipul Tatvam Villa,8.5,26235.0,3240.0,Plot area 360(301.01 sq.m.),4.0,4.0,2,"Pooja Room,Servant Room,Store Room",,East,5 to 10 Year Old,"['Athena', 'Star Mall', 'The Sixth Element School', 'K.R.Mangalam World School', 'Medhaam Pre School & Daycare', 'Peer Baba Ki Mazar', 'HDFC Bank', 'Punjab National Bank', 'Axis Bank', 'Sushil Park', 'CoNexus.Life B35', 'World Tech Park', 'Marriott Courtyard', 'Moksh Wellness Pvt Ltd.', 'Bharat Petroleum Petrol Pump']","['1 Chimney', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'High Ceiling Height', 'Maintenance Staff', 'False Ceiling Lighting', 'Water Storage', 'Visitor Parking', 'Swimming Pool', 'Park', 'Security Personnel', 'Fitness Centre / GYM', 'Waste Disposal', 'Rain Water Harvesting', 'Club house / Community Center']",sector 48
26,house,Grover Homes Sec 4,4.75,9374.0,5067.0,Plot area 563(470.74 sq.m.),5.0,5.0,1,"Pooja Room,Study Room,Servant Room",1.0,South-East,10+ Year Old,"['Chintapurni Mandir', 'State bank ATM', 'Kr Dental Hub', 'Prateek Nursing Home And Polyclinic', 'Shree Krishna Hospital Gurgaon', 'Dr. Ashok Jain', 'Jain Sant Phool Chand Ji Charitable Hospital', 'Pearl Dental Clinic', 'Esic Hospital Gurugram', 'Sarvodya Hospital', 'Taneja Hospital', 'Gurgaon Eye Centre', 'Sneh Hospital Gurgaon', 'Aryan Hospital', 'Dr. Sindhu Clinic', 'Geeta Nursing Home Gurgaon', 'Dr. Hitesh Dawar', 'D.R. Rajnis Gupta Clinic', 'Dr. Madan Clinic', 'Ravi Clinic and Health Care Centre', 'Chiranjiv Hospital', 'Sparsh Hospital Gurgaon', 'Yashroop Medical Centre', 'Dr. Mittal Clinic', 'Dev Man Kathuria Clinic', 'Jiya Clinic', 'Bhatnagar Maternity and Nursing Home', 'Swastik Maternity and Medical Centre', ""Dr. Anurag's Child Care Clinic"", 'Bindal Clinic', 'Bhardwaj Hospital', 'Satyam Hospital Gurgaon', 'M.S Hospital', 'My Care Clinic', 'Dr. Agya Ram Sharma Clinic', 'Triveni Hospital Gurgaon', 'Dr. Sarvejeet Singh', 'GH Gurgaon', 'Shiv Mahima Patient Care Bureau', 'Indian bank', 'Kotak bank', 'Hdfc bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Dronacharya Government College', 'Gurgaon railway station', 'Gurgaon railway station', 'Gurgaon railway station']","['16 Wardrobe', '9 Fan', '1 Exhaust Fan', '4 Geyser', '21 Light', '1 Modular Kitchen', '5 AC', '1 Chimney', 'No Bed', 'No Curtains', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Private Garden / Terrace', 'Water Storage', 'Visitor Parking', 'Waste Disposal', 'Rain Water Harvesting']",sector 4
27,house,,3.5,13410.0,2610.0,Plot area 290(242.48 sq.m.),9.0,9.0,3+,Study Room,3.0,North-East,1 to 5 Year Old,"['State bank ATM', 'Esic Hospital Gurugram', 'Shri Multispeciality Hospital', 'Ankur Clinic and Maternity Home', 'Shree Krishna Hospital Gurgaon', 'Taneja Hospital', 'Pearl Dental Clinic', 'Dr. Ashok Jain', 'Navjeevan Hospital and Maternity Centre', 'Shiv Mahima Patient Care Bureau', 'Dr. Madan Clinic', 'Dev Man Kathuria Clinic', 'Mangalam Hospital and Heart Centre Gurgaon', 'Shri Gobind Hospital', 'Kr Dental Hub', 'Lal Superspeciality Hospital', 'Satyam Hospital Gurgaon', 'Chiranjiv Hospital', 'Swastik Maternity and Medical Centre', 'Geeta Nursing Home Gurgaon', 'Prateek Nursing Home And Polyclinic', 'Bhanu Dental Care', 'Tirath Ram Hospitals Pvt Ltd', 'Aryan Hospital', 'Sethi Hospital Gurgaon', 'Bindal Clinic', 'My Care Clinic', 'Ravi Clinic and Health Care Centre', 'M.S Hospital', 'Shubham Hospital Gurgaon', 'Triveni Hospital Gurgaon', 'Kamla Hospital Gurgaon', 'Rachna Dental Clinic', 'Kathuria Hospital', 'D.R. Rajnis Gupta Clinic', 'Parashar Hospital', 'Gurgaon Eye Centre', 'Nangia Hospital Ent and Maternity', 'Pasricha Hospital and Maternity Home', 'Yadav Hospital Gurgoan', 'Parmar Dental Clinic & Lab', 'Vinayak Hospital Gurgaon', 'Nutan Dental Hospital', 'Hdfc bank', 'Kotak bank', 'Indian bank', 'State bank of india', 'Pizza Hut', 'St. Michaels Sr. Sec. School', 'Basai dhankot railway station']","['3 Wardrobe', '1 Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Curtains', 'No Dining Table', 'No Exhaust Fan', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Feng Shui / Vaastu Compliant', 'Recently Renovated', 'Security Personnel', 'Spacious Interiors']",sector 9
