,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score,area_to_bedroom_ratio
3,house,,3.4,12937.595129375952,2628.0,Plot area 292(244.15 sq.m.),9.0,9.0,3,3.0,West,sector 9,,,,,,moderately old,1.0,,2628.0,,70.0,292.0
8,house,,3.5,13409.961685823757,2610.0,Plot area 290(242.48 sq.m.),9.0,9.0,3+,3.0,North-East,sector 9,1.0,0.0,0.0,0.0,0.0,relatively new,0.0,,2610.0,,32.0,290.0
9,house,,5.0,21123.78538234052,2367.0,Plot area 263(219.9 sq.m.),9.0,9.0,3+,3.0,North-West,sector 40,0.0,1.0,0.0,0.0,1.0,moderately old,1.0,,2367.0,,92.0,263.0
49,house,huda sector-56 gurgaon,3.6,24844.72049689441,1449.0,Plot area 161(134.62 sq.m.),5.0,5.0,3+,3.0,North-East,sector 56,0.0,0.0,0.0,1.0,0.0,moderately old,0.0,,1449.0,,63.0,289.8
65,house,,0.82,9111.11111111111,900.0,Plot area 100(83.61 sq.m.),4.0,3.0,3,2.0,North,sector 8,,,,,,moderately old,0.0,,900.0,,12.0,225.0
98,house,IFFCO Nagar and 17B RWA,3.5,24305.555555555555,1440.0,Plot area 1440(133.78 sq.m.),6.0,5.0,3,3.0,East,sector 17,,,,,,old,0.0,,1440.0,,53.0,240.0
99,house,Bhim Garh Kheri,0.75,6410.25641025641,1170.0,Plot area 130(108.7 sq.m.),4.0,2.0,2,2.0,West,sector 3,,,,,,old,0.0,,1170.0,,16.0,292.5
101,house,,0.92,15257.048092868989,603.0,Built Up area: 603 (56.02 sq.m.),4.0,1.0,No,1.0,,sector 3,,,,,,,0.0,,602.993678,,0.0,150.75
102,house,Surendra Homes Dayanand Colony,0.75,15625.0,480.0,Built Up area: 480 (44.59 sq.m.),4.0,4.0,2,1.0,,sector 6,,,,,,,0.0,,479.962301,,0.0,120.0
115,house,Bhim Garh Kheri,1.5,7575.757575757576,1980.0,Plot area 220(183.95 sq.m.),7.0,2.0,No,1.0,,sector 3,,,,,,,0.0,,1980.0,,0.0,282.85714285714283
119,house,HUDA Housing Board Colony4.1 ★,4.6,31506.84931506849,1460.0,Plot area 1460(135.64 sq.m.),6.0,4.0,3+,3.0,East,sector 31,0.0,0.0,0.0,1.0,0.0,old,0.0,,1460.0,,8.0,243.33333333333334
120,house,,3.5,24305.555555555555,1440.0,Built Up area: 160 (14.86 sq.m.),6.0,6.0,3+,3.0,North-West,sector 17,,,,,,,0.0,,1439.563986,,0.0,240.0
127,house,Huda Flats,2.3,17037.037037037036,1350.0,Plot area 150(125.42 sq.m.),5.0,3.0,3+,3.0,North-East,sector 7,1.0,1.0,1.0,0.0,0.0,old,0.0,,1350.0,,27.0,270.0
129,house,,4.3,29311.52010906612,1467.0,Plot area 163(136.29 sq.m.),6.0,4.0,2,2.0,,sector 47,0.0,0.0,0.0,1.0,0.0,moderately old,0.0,,1467.0,,0.0,244.5
130,house,Sai Kripa Floors 5,0.9,11250.0,800.0,Plot area 800(74.32 sq.m.),5.0,5.0,3,3.0,,sector 11,,,,,,relatively new,0.0,,800.0,,0.0,160.0
142,house,,2.25,16891.891891891893,1332.0,Built Up area: 148 (123.75 sq.m.),5.0,3.0,No,2.0,,sector 7,,,,,,,0.0,,1332.032625,,0.0,266.4
156,house,,1.85,16003.460207612456,1156.0,Carpet area: 1156 (107.4 sq.m.),4.0,3.0,2,3.0,,sector 1,,,,,,,0.0,,,1156.04286,0.0,289.0
161,house,,0.75,10518.934081346424,713.0,Plot area 713(66.24 sq.m.),6.0,4.0,1,3.0,,sector 6,,,,,,moderately old,0.0,,713.0,,71.0,118.83333333333333
163,house,SS Omnia,0.42,9333.333333333334,450.0,Plot area 50(4.65 sq.m.),5.0,3.0,2,3.0,,sector 86,,,,,,relatively new,0.0,,450.0,,0.0,90.0
165,house,,3.5,15555.555555555557,2250.0,Built Up area: 2250 (209.03 sq.m.),10.0,1.0,No,1.0,,sector 11,,,,,,new,0.0,,2249.978017,,0.0,225.0
168,house,Sheetla Enclave,0.96,10000.0,960.0,Plot area 945(87.79 sq.m.),7.0,4.0,2,3.0,,sector 5,0.0,0.0,1.0,0.0,1.0,moderately old,1.0,,945.0,,0.0,137.14285714285714
178,house,,0.8,8154.943934760448,981.0,Plot area 109(91.14 sq.m.),5.0,4.0,1,2.0,,sector 3,,,,,,moderately old,0.0,,981.0,,0.0,196.2
181,house,,0.59,10085.470085470086,585.0,Plot area 585(54.35 sq.m.),2.0,2.0,2,2.0,,sector 8,0.0,0.0,0.0,1.0,0.0,moderately old,0.0,,585.0,,7.0,292.5
192,house,,0.6,11111.111111111111,540.0,Plot area 60(50.17 sq.m.),8.0,4.0,3,3.0,West,sector 105,,,,,,new,0.0,,540.0,,17.0,67.5
197,house,,4.49,24455.337690631808,1836.0,Plot area 204(170.57 sq.m.),9.0,9.0,3+,3.0,North-West,sector 45,0.0,0.0,0.0,1.0,0.0,moderately old,1.0,,1836.0,,108.0,204.0
227,house,Unitech South City 23.8 ★,5.88,27222.222222222223,2160.0,Plot area 240(200.67 sq.m.),9.0,9.0,3+,3.0,East,sector 50,1.0,1.0,1.0,1.0,0.0,relatively new,2.0,,2160.0,,161.0,240.0
231,house,,4.35,23692.81045751634,1836.0,Plot area 204(170.57 sq.m.),8.0,8.0,2,3.0,North-East,sector 46,1.0,0.0,1.0,0.0,0.0,relatively new,1.0,,1836.0,,19.0,229.5
