,property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score,area_to_bedroom_ratio
0,house,Bptp Visionnaire,5.25,20114.94252873563,2610.0,Plot area 290(242.48 sq.m.),2.0,4.0,3+,3.0,North-East,sector 70a,0.0,1.0,0.0,0.0,0.0,new,1.0,,2610.0,,58.0,1305.0
1,house,Emaar MGF Marbella,12.0,37037.03703703704,3240.0,Plot area 360(301.01 sq.m.),2.0,5.0,3+,3.0,East,sector 66,0.0,1.0,1.0,0.0,1.0,new,1.0,,3240.0,,135.0,1620.0
2,house,,2.1,2592.5925925925926,8100.0,Plot area 100(83.61 sq.m.),2.0,7.0,3+,3.0,North-East,sector 38,1.0,0.0,1.0,0.0,1.0,relatively new,0.0,,8100.0,,27.0,4050.0
3,house,,3.4,12937.595129375952,2628.0,Plot area 292(244.15 sq.m.),3.0,9.0,3,3.0,West,sector 9,,,,,,moderately old,1.0,,2628.0,,70.0,876.0
4,house,Emaar MGF Marbella,12.0,38095.23809523809,3150.0,Plot area 350(292.64 sq.m.),2.0,6.0,3+,3.0,North-East,sector 66,0.0,1.0,0.0,0.0,1.0,relatively new,1.0,,3150.0,,184.0,1575.0
5,house,,8.4,25925.925925925927,3240.0,Plot area 360(301.01 sq.m.),2.0,4.0,3,2.0,,sector 48,0.0,1.0,1.0,0.0,0.0,old,1.0,,3240.0,,22.0,1620.0
6,house,Vipul Tatvam Villa,8.5,26234.567901234568,3240.0,Plot area 360(301.01 sq.m.),,4.0,2,,East,sector 48,0.0,1.0,1.0,0.0,1.0,moderately old,0.0,,3240.0,,103.0,
7,house,Grover Homes Sec 4,4.75,9374.38326425893,5067.0,Plot area 563(470.74 sq.m.),5.0,5.0,1,1.0,South-East,sector 4,1.0,1.0,1.0,0.0,0.0,old,1.0,,5067.0,,44.0,1013.4
8,house,,3.5,13409.961685823757,2610.0,Plot area 290(242.48 sq.m.),3.0,9.0,3+,3.0,North-East,sector 9,1.0,0.0,0.0,0.0,0.0,relatively new,0.0,,2610.0,,32.0,870.0
9,house,,5.0,21123.78538234052,2367.0,Plot area 263(219.9 sq.m.),3.0,9.0,3+,3.0,North-West,sector 40,0.0,1.0,0.0,0.0,1.0,moderately old,1.0,,2367.0,,92.0,789.0
10,house,Ansal API Esencia3.7 ★,5.46,24169.98671978752,2259.0,Plot area 251(209.87 sq.m.),2.0,5.0,3+,2.0,East,sector 67,1.0,0.0,1.0,0.0,1.0,relatively new,1.0,,2259.0,,128.0,1129.5
11,house,,10.0,13583.265417006249,7362.0,Plot area 900(83.61 sq.m.),4.0,4.0,3+,1.0,North-East,sector 1,0.0,1.0,0.0,0.0,0.0,,0.0,,8100.0,,19.0,1840.5
12,house,,1.95,13541.666666666666,1440.0,Plot area 160(133.78 sq.m.),1.0,2.0,2,2.0,,sector 7,,,,,,old,0.0,,1440.0,,0.0,1440.0
13,house,,7.2,22222.222222222223,3240.0,Plot area 359(300.17 sq.m.),3.0,3.0,2,1.0,North,sector 15,0.0,0.0,0.0,0.0,1.0,old,0.0,,3231.0,,76.0,1080.0
14,house,Suncity Essel Towers4.2 ★,6.0,22222.222222222223,2700.0,Plot area 300(250.84 sq.m.),1.0,4.0,3+,3.0,East,sector 28,1.0,0.0,0.0,0.0,0.0,old,1.0,,2700.0,,104.0,2700.0
15,house,Bptp Visionnaire,5.4,20689.655172413797,2610.0,Plot area 290(242.48 sq.m.),1.0,5.0,3+,3.0,North,sector 70a,1.0,1.0,1.0,0.0,1.0,relatively new,1.0,,2610.0,,167.0,2610.0
16,house,Experion Windchants3.8 ★,7.99,12519.586336571609,6382.0,Built Up area: 6382 (592.91 sq.m.),2.0,6.0,3,2.0,South-East,sector 112,0.0,1.0,1.0,0.0,1.0,new,1.0,,6382.023948999999,,167.0,3191.0
17,house,Vipul Tatvam Villa,7.25,27970.67901234568,2592.0,Plot area 288(240.8 sq.m.),2.0,4.0,2,2.0,South,sector 48,1.0,1.0,1.0,0.0,1.0,moderately old,1.0,,2592.0,,153.0,1296.0
18,house,Vipul Tatvam Villa,8.4,21000.0,4000.0,Plot area 4000(371.61 sq.m.),2.0,5.0,3+,2.0,North,sector 48,1.0,1.0,1.0,0.0,0.0,moderately old,1.0,,4000.0,,49.0,2000.0
19,house,,3.55,24499.65493443754,1449.0,Plot area 161(134.62 sq.m.),2.0,4.0,3+,2.0,,sector 55,,,,,,old,1.0,,1449.0,,27.0,724.5
20,house,DLF New Town Heights3.7 ★,2.5,7058.159232072276,3542.0,Plot area 3400(315.87 sq.m.),1.0,4.0,3+,3.0,East,sector 91,1.0,1.0,1.0,0.0,1.0,moderately old,1.0,,3400.0,,104.0,3542.0
21,house,DLF New Town Heights 24.0 ★,2.5,7058.159232072276,3542.0,Plot area 3400(315.87 sq.m.),1.0,4.0,3+,3.0,East,sector 86,1.0,1.0,1.0,0.0,1.0,moderately old,1.0,,3400.0,,182.0,3542.0
22,house,Puri Diplomatic Greens4.0 ★,9.0,11250.0,8000.0,Built Up area: 8000 (743.22 sq.m.),2.0,5.0,3+,3.0,North-East,sector 111,0.0,1.0,0.0,0.0,0.0,relatively new,0.0,,7999.945758,,143.0,4000.0
23,house,,2.1,2592.5925925925926,8100.0,Plot area 900(83.61 sq.m.),1.0,3.0,2,3.0,North,sector 40,0.0,0.0,0.0,1.0,0.0,moderately old,1.0,,8100.0,,44.0,8100.0
24,house,,4.5,20000.0,2250.0,Carpet area: 2500 (232.26 sq.m.),5.0,5.0,1,1.0,,sector 14,,,,,,relatively new,0.0,,,2500.023414,0.0,450.0
25,house,,5.0,16244.314489928523,3078.0,Plot area 342(285.96 sq.m.),2.0,4.0,2,2.0,East,sector 23,,,,,,old,1.0,,3078.0,,7.0,1539.0
26,house,International City by Sobha Phase 1,5.5,21602.513747054203,2546.0,Plot area 270(225.75 sq.m.),2.0,4.0,3+,2.0,North-East,sector 109,0.0,1.0,0.0,0.0,0.0,new,0.0,,2430.0,,67.0,1273.0
27,house,International City by SOBHA Phase 2,5.65,10462.962962962964,5400.0,Plot area 600(501.68 sq.m.),2.0,4.0,3+,2.0,North-East,sector 109,0.0,1.0,0.0,1.0,0.0,new,1.0,,5400.0,,53.0,2700.0
28,house,Emaar MGF Marbella,8.8,41607.565011820334,2115.0,Built Up area: 267 (223.25 sq.m.),1.0,4.0,3+,3.0,South-East,sector 66,0.0,1.0,1.0,0.0,1.0,relatively new,0.0,,2403.040675,,129.0,2115.0
29,house,,3.25,14444.444444444443,2250.0,Plot area 250(209.03 sq.m.),2.0,3.0,2,2.0,South-East,sector 4,,,,,,old,0.0,,2250.0,,27.0,1125.0
30,house,,5.0,10101.0101010101,4950.0,Plot area 550(459.87 sq.m.),3.0,3.0,2,1.0,North-East,sector 4,,,,,,old,0.0,,4950.0,,22.0,1650.0
31,house,Vipul Tatvam Villa,19.5,22222.222222222223,8775.0,Plot area 975(815.22 sq.m.),2.0,6.0,3,2.0,North,sector 48,1.0,1.0,1.0,0.0,1.0,moderately old,1.0,,8775.0,,148.0,4387.5
32,house,,7.5,23148.14814814815,3240.0,Plot area 360(301.01 sq.m.),2.0,5.0,3+,2.0,East,sector 82,0.0,1.0,1.0,0.0,0.0,relatively new,1.0,,3240.0,,160.0,1620.0
33,house,International City by Sobha Phase 1,5.75,16428.571428571428,3500.0,Plot area 272(25.27 sq.m.)Built Up area: 4800 sq.ft. (445.93 sq.m.)Carpet area: 3500 sq.ft. (325.16 sq.m.),1.0,4.0,2,3.0,South-East,sector 109,0.0,1.0,0.0,0.0,0.0,relatively new,0.0,,272.0,3500.0,170.0,3500.0
