property_type,society,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,sector,Study Room,Servant Room,Pooja Room,Others,Store Room,possession_category,furnishingType,super_builtup_area,builtup_area,carpet_area,luxury_score
house,Bptp Visionnaire,5.25,20115.0,2610.0,Plot area 290(242.48 sq.m.),5.0,4.0,3+,3.0,North-East,sector 70a,0.0,1.0,0.0,0.0,0.0,new,1,,2610.0,,58
house,,5.0,43066.0,1161.0,Plot area 129(107.86 sq.m.),21.0,21.0,3+,5.0,North,sector 54,0.0,1.0,0.0,0.0,0.0,relatively new,2,,1161.0,,58
house,Emaar MGF Marbella,12.0,37037.0,3240.0,Plot area 360(301.01 sq.m.),5.0,5.0,3+,3.0,East,sector 66,0.0,1.0,1.0,0.0,1.0,new,1,,3240.0,,135
house,,2.1,23333.0,900.0,Plot area 100(83.61 sq.m.),7.0,7.0,3+,3.0,North-East,sector 38,1.0,0.0,1.0,0.0,1.0,relatively new,0,,900.0,,27
house,,3.4,12938.0,2628.0,Plot area 292(244.15 sq.m.),9.0,9.0,3,3.0,West,sector 9,,,,,,moderately old,1,,2628.0,,70
house,Emaar MGF Marbella,12.0,38095.0,3150.0,Plot area 350(292.64 sq.m.),5.0,6.0,3+,3.0,North-East,sector 66,0.0,1.0,0.0,0.0,1.0,relatively new,1,,3150.0,,184
house,,8.4,25926.0,3240.0,Plot area 360(301.01 sq.m.),4.0,4.0,3,2.0,,sector 48,0.0,1.0,1.0,0.0,0.0,old,1,,3240.0,,22
house,Vipul Tatvam Villa,8.5,26235.0,3240.0,Plot area 360(301.01 sq.m.),4.0,4.0,2,,East,sector 48,0.0,1.0,1.0,0.0,1.0,moderately old,0,,3240.0,,103
house,Grover Homes Sec 4,4.75,9374.0,5067.0,Plot area 563(470.74 sq.m.),5.0,5.0,1,1.0,South-East,sector 4,1.0,1.0,1.0,0.0,0.0,old,1,,5067.0,,44
house,,3.5,13410.0,2610.0,Plot area 290(242.48 sq.m.),9.0,9.0,3+,3.0,North-East,sector 9,1.0,0.0,0.0,0.0,0.0,relatively new,0,,2610.0,,32
house,,5.0,21124.0,2367.0,Plot area 263(219.9 sq.m.),9.0,9.0,3+,3.0,North-West,sector 40,0.0,1.0,0.0,0.0,1.0,moderately old,1,,2367.0,,92
house,Ansal API Esencia3.7 ★,5.46,24170.0,2259.0,Plot area 251(209.87 sq.m.),4.0,5.0,3+,2.0,East,sector 67,1.0,0.0,1.0,0.0,1.0,relatively new,1,,2259.0,,128
house,,10.0,122222.0,818.0,Plot area 900(83.61 sq.m.),4.0,4.0,3+,1.0,North-East,sector 1,0.0,1.0,0.0,0.0,0.0,,0,,900.0,,19
house,,1.95,13542.0,1440.0,Plot area 160(133.78 sq.m.),2.0,2.0,2,2.0,,sector 7,,,,,,old,0,,1440.0,,0
house,,7.2,22222.0,3240.0,Plot area 359(300.17 sq.m.),3.0,3.0,2,1.0,North,sector 15,0.0,0.0,0.0,0.0,1.0,old,0,,3231.0,,76
house,Suncity Essel Towers4.2 ★,6.0,22222.0,2700.0,Plot area 300(250.84 sq.m.),4.0,4.0,3+,3.0,East,sector 28,1.0,0.0,0.0,0.0,0.0,old,1,,2700.0,,104
house,,7.49,27741.0,2700.0,Plot area 300(250.84 sq.m.),12.0,12.0,3+,4.0,South-East,sector 55,1.0,1.0,1.0,0.0,0.0,relatively new,1,,2700.0,,58
house,,11.95,43534.0,2745.0,Plot area 305(255.02 sq.m.),12.0,12.0,3+,4.0,West,sector 56,0.0,1.0,0.0,0.0,0.0,relatively new,1,,2745.0,,30
house,,12.39,45889.0,2700.0,Plot area 300(250.84 sq.m.),16.0,18.0,3+,4.0,North-East,sector 56,0.0,1.0,1.0,0.0,0.0,new,1,,2700.0,,58
house,Bptp Visionnaire,5.4,20690.0,2610.0,Plot area 290(242.48 sq.m.),4.0,5.0,3+,3.0,North,sector 70a,1.0,1.0,1.0,0.0,1.0,relatively new,1,,2610.0,,167
house,Experion Windchants3.8 ★,7.99,12519.0,6382.0,Built Up area: 6382 (592.91 sq.m.),4.0,6.0,3,2.0,South-East,sector 112,0.0,1.0,1.0,0.0,1.0,new,1,,6382.023948999999,,167
house,Vipul Tatvam Villa,7.25,27971.0,2592.0,Plot area 288(240.8 sq.m.),3.0,4.0,2,2.0,South,sector 48,1.0,1.0,1.0,0.0,1.0,moderately old,1,,2592.0,,153
house,Vipul Tatvam Villa,8.4,21000.0,4000.0,Plot area 4000(371.61 sq.m.),4.0,5.0,3+,2.0,North,sector 48,1.0,1.0,1.0,0.0,0.0,moderately old,1,,4000.0,,49
house,,3.55,24500.0,1449.0,Plot area 161(134.62 sq.m.),4.0,4.0,3+,2.0,,sector 55,,,,,,old,1,,1449.0,,27
house,DLF New Town Heights3.7 ★,2.5,7058.0,3542.0,Plot area 3400(315.87 sq.m.),4.0,4.0,3+,3.0,East,sector 91,1.0,1.0,1.0,0.0,1.0,moderately old,1,,3400.0,,104
house,DLF New Town Heights 24.0 ★,2.5,7058.0,3542.0,Plot area 3400(315.87 sq.m.),4.0,4.0,3+,3.0,East,sector 86,1.0,1.0,1.0,0.0,1.0,moderately old,1,,3400.0,,182
house,Puri Diplomatic Greens4.0 ★,9.0,11250.0,8000.0,Built Up area: 8000 (743.22 sq.m.),5.0,5.0,3+,3.0,North-East,sector 111,0.0,1.0,0.0,0.0,0.0,relatively new,0,,7999.945758,,143
house,,2.1,23333.0,900.0,Plot area 900(83.61 sq.m.),3.0,3.0,2,3.0,North,sector 40,0.0,0.0,0.0,1.0,0.0,moderately old,1,,900.0,,44
house,,4.5,20000.0,2250.0,Carpet area: 2500 (232.26 sq.m.),5.0,5.0,1,1.0,,sector 14,,,,,,relatively new,0,,,2500.023414,0
house,,9.5,40135.0,2367.0,Plot area 263(219.9 sq.m.),12.0,12.0,3+,4.0,,sector 40,0.0,0.0,0.0,0.0,1.0,new,1,,2367.0,,64
house,,5.0,16244.0,3078.0,Plot area 342(285.96 sq.m.),4.0,4.0,2,2.0,East,sector 23,,,,,,old,1,,3078.0,,7
house,International City by Sobha Phase 1,5.5,21605.0,2546.0,Plot area 270(225.75 sq.m.),4.0,4.0,3+,2.0,North-East,sector 109,0.0,1.0,0.0,0.0,0.0,new,0,,2430.0,,67
house,International City by SOBHA Phase 2,5.65,10463.0,5400.0,Plot area 600(501.68 sq.m.),4.0,4.0,3+,2.0,North-East,sector 109,0.0,1.0,0.0,1.0,0.0,new,1,,5400.0,,53
house,Emaar MGF Marbella,8.8,41615.0,2115.0,Built Up area: 267 (223.25 sq.m.),4.0,4.0,3+,3.0,South-East,sector 66,0.0,1.0,1.0,0.0,1.0,relatively new,0,,2403.0406749999997,,129
house,,3.25,14444.0,2250.0,Plot area 250(209.03 sq.m.),3.0,3.0,2,2.0,South-East,sector 4,,,,,,old,0,,2250.0,,27
house,,5.0,10101.0,4950.0,Plot area 550(459.87 sq.m.),3.0,3.0,2,1.0,North-East,sector 4,,,,,,old,0,,4950.0,,22
